ID,URL,GENDER,CONFIDENCE,AGE,CONFIDENCE,REAL,SAME,CHECK
1,http://pbs.twimg.com/profile_images/1141795661/pic5.jpg,FEMALE,0.952574,55-64,0.538697,FEMALE,TRUE,1
2,http://pbs.twimg.com/profile_images/114739881/100_0691_-_Copy.JPG,NoFace,,,,FEMALE,FALSE,0
3,http://pbs.twimg.com/profile_images/1213357756/IMG00491-20101231-two.jpg,FEMALE,0.993307,18-24,0.502411,FEMALE,TRUE,1
4,http://pbs.twimg.com/profile_images/122423638/n770598231_5104.jpg,FEMALE,0.982014,55-64,0.452302,FEMALE,TRUE,1
5,http://pbs.twimg.com/profile_images/1241640916/TTMG_1764.jpg,FEMALE,0.989013,18-24,0.374356,FEMALE,TRUE,1
6,http://pbs.twimg.com/profile_images/1317078989/Tonia.jpg,FEMALE,0.989013,18-24,0.404086,FEMALE,TRUE,1
7,http://pbs.twimg.com/profile_images/1324909887/303861.jpg,FEMALE,0.989013,<18,0.953822,FEMALE,TRUE,1
8,http://pbs.twimg.com/profile_images/1339404177/me.jpg,FEMALE,0.982014,35-44,0.506266,FEMALE,TRUE,1
9,http://pbs.twimg.com/profile_images/1422910010/Lisa_Portrait-5174074-2_1_.jpg,NoFace,,,,FEMALE,FALSE,0
10,http://pbs.twimg.com/profile_images/1441613245/IMG_1188.jpg,FEMALE,0.993307,35-44,0.520977,FEMALE,TRUE,1
11,http://pbs.twimg.com/profile_images/1472317435/picfortwitter.jpg,MALE,0.982014,35-44,0.290042,FEMALE,FALSE,0
12,http://pbs.twimg.com/profile_images/147705181/Denise.jpg,FEMALE,0.993307,35-44,0.458333,FEMALE,TRUE,1
13,http://pbs.twimg.com/profile_images/1489690333/hen.jpg,FEMALE,0.924142,18-24,0.502411,FEMALE,TRUE,1
14,http://pbs.twimg.com/profile_images/1512192971/305618_10150756422955004_591190003_19902555_701800_n.jpg,FEMALE,0.993307,35-44,0.295345,FEMALE,TRUE,1
15,http://pbs.twimg.com/profile_images/1556700261/217681_1017496196357_1193677561_30061170_9155_n.jpg,FEMALE,0.993307,35-44,0.450332,FEMALE,TRUE,1
16,http://pbs.twimg.com/profile_images/1618616698/image.jpg,FEMALE,0.993307,35-44,0.389988,FEMALE,TRUE,1
17,http://pbs.twimg.com/profile_images/1632832185/IMG_5030.JPG,FEMALE,0.952574,<18,0.690682,FEMALE,TRUE,1
18,http://pbs.twimg.com/profile_images/1660443257/image.jpg,FEMALE,0.99593,35-44,0.479087,FEMALE,TRUE,1
19,http://pbs.twimg.com/profile_images/178345092/DSCF0128.JPG,FEMALE,0.989013,18-24,0.592498,FEMALE,TRUE,1
20,http://pbs.twimg.com/profile_images/1824291240/image.jpg,FEMALE,0.989013,18-24,0.634758,FEMALE,TRUE,1
21,http://pbs.twimg.com/profile_images/1833459181/image.jpg,FEMALE,0.982014,35-44,0.376205,FEMALE,TRUE,1
22,http://pbs.twimg.com/profile_images/1888490503/426918_10150575809861470_669646469_9414920_1460091082_n.jpg,FEMALE,0.989013,18-24,0.40463,FEMALE,TRUE,1
23,http://pbs.twimg.com/profile_images/1890401988/syd.JPG,FEMALE,0.993307,18-24,0.502411,FEMALE,TRUE,1
24,http://pbs.twimg.com/profile_images/1903347906/image.jpg,FEMALE,0.5,35-44,0.32548,FEMALE,TRUE,1
25,http://pbs.twimg.com/profile_images/1912080210/0e992647-2611-4f00-89fe-c913dd270978.png,FEMALE,0.377541,35-44,0.431451,FEMALE,TRUE,1
26,http://pbs.twimg.com/profile_images/1944684660/17552_412834145371_851730371_10854730_5161839_n.jpeg,FEMALE,0.993307,<18,0.324205,FEMALE,TRUE,1
27,http://pbs.twimg.com/profile_images/2022659781/0e15ad30-af2a-4e4e-baf8-6e7aa0e1d284.jpg,FEMALE,0.970688,55-64,0.551173,FEMALE,TRUE,1
28,http://pbs.twimg.com/profile_images/2107220346/6.jpg,FEMALE,0.989013,55-64,0.447907,FEMALE,TRUE,1
29,http://pbs.twimg.com/profile_images/2130822789/Nicole_Avery_Square_200.jpg,FEMALE,0.622459,55-64,0.449302,FEMALE,TRUE,1
30,http://pbs.twimg.com/profile_images/2163611121/image.jpg,NoFace,,,,FEMALE,FALSE,0
31,http://pbs.twimg.com/profile_images/2167076092/264883_10150376398694428_512364427_10027193_6312938_n.jpg,FEMALE,0.993307,18-24,0.502411,FEMALE,TRUE,1
32,http://pbs.twimg.com/profile_images/220291245/helena_s_partner.jpg,NoFace,,,,FEMALE,FALSE,0
33,http://pbs.twimg.com/profile_images/2206650323/photo.jpg,FEMALE,0.952574,<18,0.44715,FEMALE,TRUE,1
