ID,URL,GENDER,CONFIDENCE,REAL,SAME,CHECK
1,http://pbs.twimg.com/profile_images/1141795661/pic5.jpg,female,52,female,TRUE,1
2,http://pbs.twimg.com/profile_images/114739881/100_0691_-_Copy.JPG,female,77,female,TRUE,1
3,http://pbs.twimg.com/profile_images/1213357756/IMG00491-20101231-two.jpg,female,52,female,TRUE,1
4,http://pbs.twimg.com/profile_images/122423638/n770598231_5104.jpg,female,17,female,TRUE,1
5,http://pbs.twimg.com/profile_images/1241640916/TTMG_1764.jpg,female,5,female,TRUE,1
6,http://pbs.twimg.com/profile_images/1317078989/Tonia.jpg,NoFace,,female,FALSE,0
7,http://pbs.twimg.com/profile_images/1324909887/303861.jpg,female,75,female,TRUE,1
8,http://pbs.twimg.com/profile_images/1339404177/me.jpg,male,19,female,FALSE,0
9,http://pbs.twimg.com/profile_images/1422910010/Lisa_Portrait-5174074-2_1_.jpg,female,7,female,TRUE,1
10,http://pbs.twimg.com/profile_images/1441613245/IMG_1188.jpg,female,55,female,TRUE,1
11,http://pbs.twimg.com/profile_images/1472317435/picfortwitter.jpg,female,2,female,TRUE,1
12,http://pbs.twimg.com/profile_images/147705181/Denise.jpg,female,27,female,TRUE,1
13,http://pbs.twimg.com/profile_images/1489690333/hen.jpg,female,48,female,TRUE,1
14,http://pbs.twimg.com/profile_images/1512192971/305618_10150756422955004_591190003_19902555_701800_n.jpg,female,56,female,TRUE,1
15,http://pbs.twimg.com/profile_images/1556700261/217681_1017496196357_1193677561_30061170_9155_n.jpg,female,100,female,TRUE,1
16,http://pbs.twimg.com/profile_images/1618616698/image.jpg,female,9,female,TRUE,1
17,http://pbs.twimg.com/profile_images/1632832185/IMG_5030.JPG,male,15,female,FALSE,0
18,http://pbs.twimg.com/profile_images/1660443257/image.jpg,female,85,female,TRUE,1
19,http://pbs.twimg.com/profile_images/178345092/DSCF0128.JPG,female,34,female,TRUE,1
20,http://pbs.twimg.com/profile_images/1824291240/image.jpg,female,42,female,TRUE,1
21,http://pbs.twimg.com/profile_images/1833459181/image.jpg,NoFace,,female,FALSE,0
22,http://pbs.twimg.com/profile_images/1888490503/426918_10150575809861470_669646469_9414920_1460091082_n.jpg,female,72,female,TRUE,1
23,http://pbs.twimg.com/profile_images/1890401988/syd.JPG,female,77,female,TRUE,1
24,http://pbs.twimg.com/profile_images/1903347906/image.jpg,female,28,female,TRUE,1
25,http://pbs.twimg.com/profile_images/1912080210/0e992647-2611-4f00-89fe-c913dd270978.png,NoFace,,female,FALSE,0
26,http://pbs.twimg.com/profile_images/1944684660/17552_412834145371_851730371_10854730_5161839_n.jpeg,female,55,female,TRUE,1
